,job_title,company_name,area,city,country,job_type,job_state,exp_level,exp_years,job_category,skills,posted
77,AI Specialist,LINK Development,Not mentioned,Cairo,Egypt ,Full Time,Hybrid,Entry Level,1 - 5 Yrs of Exp,IT/Software Development,BI Software Engineering SQL Software Development Power BI SSRS SQL Server,30 days ago
78,Initial R&D followed by development of an AI system for creating digital business cards,Creatio,Not mentioned,Sydney,Australia ,Full Time,Hybrid,Experienced,,IT/Software Development,Machine Vision Artificial Intelligence (AI) Design,1 month ago
79,AI Innovation,Nano Shield,Maadi,Cairo,Egypt ,Full Time,Hybrid,Entry Level,1 - 3 Yrs of Exp,IT/Software Development,Innovation Innovative research,1 month ago
80,AI and Robotics Instructor,MICA,Haram,Giza,Egypt ,Full Time,Hybrid,Entry Level,,Training/Instructor,Engineering Python Robotics Instructor Education Teaching,1 month ago
81,AI Intern,Barkotel,Sheraton,Cairo,Egypt ,Full Time,Hybrid,Entry Level,0 - 1 Yrs of Exp,IT/Software Development,Artificial Intelligence Computer Science Software Engineering Machine Learning Computer Vision Programming,1 month ago
82,graphic designer supervisor,Storia,Not mentioned,Alexandria,Egypt ,Full Time,Hybrid,Senior Management,2 - 3 Yrs of Exp,Creative/Design/Art,,45 minutes ago
83,Data Scientist,BBI-Consultancy,Nasr City,Cairo,Egypt ,Full Time,Hybrid,Experienced,,IT/Software Development,Data Science Data data scientist Information Technology (IT) Mathematics Science Python,17 days ago
84,Commercial Manager,visual and ai solutions (VAIS),Smart Village,Giza,Egypt ,Full Time,Hybrid,Manager,4 - 8 Yrs of Exp,Business Development,Commercial Sales Director sales skills B2B Business Development business,2 days ago
85,AI Engineer - Saudi Arabia,Yeah! Global,Not mentioned,Riyadh,Saudi Arabia ,Full Time,Hybrid,Entry Level,,Analyst/Research,Information Technology (IT) Computer Science Engineering Python Software Engineering NLP,4 days ago
86,AI Engineer - UAE,Yeah! Global,Not mentioned,Dubai,United Arab Emirates ,Full Time,Hybrid,Entry Level,,Analyst/Research,Information Technology (IT) Computer Science Engineering Python Software Engineering NLP,4 days ago
87,Coders - AI Training [Remote],Braintrust,Not mentioned,Riyadh,Saudi Arabia ,Full Time,Hybrid,Entry Level,,IT/Software Development,computer science javascript engineering html coding php,3 hours ago
88,Second Level Technical Support Engineer,3D Diagnostix,Maadi,Cairo,Egypt ,Full Time,Remote,Entry Level,0 - 5 Yrs of Exp,Installation/Maintenance/Repair,HTML PHP javaScript Information Technology (IT) Computer Science Engineering Troubleshooting,1 month ago
89,Python Developer,coto,Not mentioned,Cairo,Egypt ,Full Time,Remote,Experienced,3 - 6 Yrs of Exp,IT/Software Development,AI Data Processing Computer Science Docker Engineering Information Technology (IT) MongoDB,1 month ago
90,Graduate Internship: Enterprise Software Engineering,eT3,New Cairo,Cairo,Egypt ,Full Time,Remote,Entry Level,0 - 1 Yrs of Exp,IT/Software Development,Software Development Software Engineering Computer Engineering Backend Development Frontend Development 	Software Testing Data Engineering,1 month ago
91,"AI/ML Sales Specialist, MENAT AGS Specialist Team",Amazon Web Services (AWS),Not mentioned,Dubai,United Arab Emirates ,Full Time,Remote,Not specified,,Engineering - Telecom/Technology,ai expertise customers aws,28 days ago
92,AI Architect,Virtusa,Not mentioned,Doha,Qatar ,Full Time,Remote,Experienced,,Sales/Retail,information technology (it) software engineering engineering azure python ai,1 month ago
93,Technical Researcher,Equivator,Not mentioned,Riyadh,Saudi Arabia ,Full Time,Remote,Experienced,5 - 10 Yrs of Exp,IT/Software Development,Analysis,2 months ago
94,Teaching Assistant in Computer Science,(MSA) October University,6th of October,Giza,Egypt ,Full Time,Remote,Entry Level,0 - 4 Yrs of Exp,Education/Teaching,Information Technology (IT) Teaching Artificial Intelligence (AI) Information Systems Data Science Software Engineering,2 months ago
95,Lead Tech Safety,Kent,Not mentioned,Dubai,United Arab Emirates ,Full Time,Remote,Experienced,,Quality,Computer Science Engineering Software Development javaScript Agile PHP,10 days ago
96,"Tech Lead, UAE",ION,Not mentioned,Dubai,United Arab Emirates ,Full Time,Remote,Not specified,,Legal,Computer Science Software Development javaScript Agile Engineering PHP,14 days ago
97,Tech Lead,Virtusa,Not mentioned,Doha,Qatar ,Full Time,Remote,Entry Level,,Operations/Management,Computer Science Software Development javaScript Agile Engineering PHP,23 days ago
98,Observability Tech Lead,Expleo Group,Not mentioned,Dubai,United Arab Emirates ,Full Time,Remote,Experienced,,Operations/Management,Computer Science Software Development javaScript Agile Engineering PHP,26 days ago
99,Customer Success Manager,Vectra AI,Not mentioned,Riyadh,Saudi Arabia ,Full Time,Remote,Experienced,,Operations/Management,Customer Care Customer Support Management Sales Call Center Sales Skills,23 days ago
100,Media Buyer,High Art,Sheraton,Cairo,Egypt ,Full Time,Remote,Experienced,4 - 6 Yrs of Exp,Marketing/PR/Advertising,Digital Marketing digital media Management Marketing media Social Media digital marketing,17 days ago
101,Part-Time Digital Marketer,HiddenAI,Not mentioned,Cairo,Egypt ,Full Time,Remote,Experienced,2 - 5 Yrs of Exp,Marketing/PR/Advertising,Marketing Social Media digital marketing E-Marketing media,27 days ago
102,Senior digital learning developer (LMS),alfanar,Not mentioned,Cairo,Egypt ,Full Time,Remote,Experienced,6 - 8 Yrs of Exp,Other,digital learning digital learning solution digital learning solutions digital learning products Instructional Design,15 days ago
103,Content Creator,Confidential,Maadi,Cairo,Egypt ,Full Time,On-site,Experienced,1 - 2 Yrs of Exp,Marketing/PR/Advertising,Tiktok Snapchat Adobe Photoshop creator,5 days ago
104,Java Instructor,MICA,Hadayek Alahram,Giza,Egypt ,Full Time,On-site,Entry Level,,Education/Teaching,Java SQL Oracle Computer Science Java Software Development Database,1 day ago
105,Videographer/ Marketing specialist,Boulevard Misr,New Cairo,Cairo,Egypt ,Full Time,On-site,Entry Level,,Marketing/PR/Advertising,marketing specialist Marketing Social Media media specialist Videographer,16 days ago
106,System Analyst,Equivator,Not mentioned,Riyadh,Saudi Arabia ,Full Time,On-site,Experienced,5 - 10 Yrs of Exp,Analyst/Research,Project Management Solution Development Communication ConImprovement,17 days ago
107,Marketing Executive,Rology,Maadi,Cairo,Egypt ,Full Time,On-site,Experienced,4 - 8 Yrs of Exp,females_preferred,Content Creation Content Development Content Writing Copywriting SEO Google Ads Digital Marketing Digital Marketing Strategy,2 days ago
108,Business Development Specialist,Venturify,Dokki,Giza,Egypt ,Full Time,On-site,Entry Level,1 - 3 Yrs of Exp,Business Development,Market Research Business Administration Sales sales skills Management Development,1 month ago
109,Junior Fullstack Web Developer,Blue202,Downtown,Cairo,Egypt ,Full Time,On-site,Entry Level,,IT/Software Development,JavaScript Information Technology (IT) Web Development Software Development Computer Science React,18 days ago
110,Senior E-learning content developer,alfanar,Not mentioned,Cairo,Egypt ,Full Time,On-site,Experienced,6 - 8 Yrs of Exp,Other,instructional design e-learning development didgital learning digital learning authoring LDC web management,15 days ago
111,Senior Graphic Designer / Video editor ( Full Time ) - Nasr City,Confidential,Nasr City,Cairo,Egypt ,Full Time,On-site,Experienced,3 - 3 Yrs of Exp,Creative/Design/Art,Adobe illustrator Adobe Photoshop After Effects Design Creative Graphic Graphic Design,26 days ago
112,Computer Vision Engineer,RTR Software Solutions ,Nasr City,Cairo,Egypt ,Full Time,On-site,Experienced,2 - 5 Yrs of Exp,IT/Software Development,Engineering Communication skills Python Computer Vision NLP yolo,30 days ago
113,3D Art Director,Influence Communication,Maadi,Cairo,Egypt ,Full Time,On-site,Senior Management,,Marketing/PR/Advertising,Adobe Photoshop Arts Creative Graphic Design photoshop Design,17 days ago
114,Remote Flutter Developer,AigentsX,Not mentioned,Cairo,Egypt ,Full Time,On-site,Student,,Engineering - Telecom/Technology,Dart Git Github Computer Science backend Programming,4 days ago
115,Java Database Instructor,MICA,Haram,Giza,Egypt ,Full Time,On-site,Entry Level,0 - 3 Yrs of Exp,IT/Software Development,Java Database Engineering Information Technology (IT) OOP Computer Science computer,1 month ago
116,Full-Stack Python Team Leader (Django/React),RDI,Dokki,Giza,Egypt ,Full Time,On-site,Experienced,5 - 8 Yrs of Exp,IT/Software Development,Django Full Stack Development Information Technology (IT) Computer Science RESTful API Microservice Architecture Database Systems,17 days ago
117,Full-Stack Team Leader (Django/React),RDI,Dokki,Giza,Egypt ,Full Time,On-site,Experienced,5 - 8 Yrs of Exp,IT/Software Development,Django Full Stack Development Information Technology (IT) Computer Science RESTful API Microservice Architecture Database Systems,17 days ago
118,Data Scientist,Wakeb Data,Mohandessin,Giza,Egypt ,Full Time,Remote,Experienced,3 - 5 Yrs of Exp,IT/Software Development,data scientist Python,17 days ago
119,.Net Web Developer,Future Internet,Not mentioned,Cairo,Egypt ,Full Time,Remote,Experienced,4 - 10 Yrs of Exp,males_only,.Net ASP.Net JavaScript MVC SQL CSS HTML Agile,25 days ago
120,Business Development Executive,Zimozi Solutions Pvt Ltd,Not mentioned,Noida,India ,Full Time,Remote,Entry Level,0 - 2 Yrs of Exp,Business Development,Business Administration Business Development Communication Management Marketing sales skills,21 days ago
121,Senior Backend Developer,Pioneers Now,Nasr City,Cairo,Egypt ,Full Time,Remote,Experienced,,Business Development,backend Computer Science Design Engineering Information Technology (IT) Python Software Engineering,1 month ago
122,Machine Learning Engineer,StreetScan,New Cairo,Cairo,Egypt ,Full Time,Remote,Experienced,7 - 11 Yrs of Exp,IT/Software Development,Computer Science Programming Python TensorFlow PyTorch Data visualization,16 days ago
123,SEO/SEM Senior Specialist,waffarha.com,Downtown,Cairo,Egypt ,Full Time,Remote,Experienced,2 - 4 Yrs of Exp,Marketing/PR/Advertising,Marketing Analytics English Google Analytics,3 days ago
124,Digital Marketing Expert,decorum,Not mentioned,Cairo,Egypt ,Full Time,Remote,Experienced,2 - 4 Yrs of Exp,Business Development,digital marketing Google Analytics Marketing Campaigns Social Media SEO,1 month ago
125,Senior python backend developer.,Pioneers Now,Nasr City,Cairo,Egypt ,Full Time,Remote,Experienced,5 - 8 Yrs of Exp,males_only,Marketing/PR/Advertising backend Software Software Development Web Development,1 month ago
126,Customer Success Manager,Myalice,Not mentioned,Cairo,Egypt ,Full Time,Remote,Experienced,2 - 4 Yrs of Exp,Customer Service/Support,CRM Customer Satisfaction Communication SAAS English Customer Service Customer Care,15 days ago
127,Software Testing Team Lead,3i Vision LTD.,Hadayek Alahram,Giza,Egypt ,Full Time,Remote,Experienced,5 - 7 Yrs of Exp,IT/Software Development,Agile Azure API,1 month ago
128,Content Writer,Opulence Group,Not mentioned,Dubai,United Arab Emirates ,Full Time,Remote,Entry Level,1 - 5 Yrs of Exp,Writing/Editorial,Content Writer copywriter Content Content Management Digital Marketing digital marketing Marketing,2 months ago
